text,label
"In such event, the provisions of this Agreement that survive during the Wind Down Period will continue to survive for the remainder of the period of time that DIALOG is authorized to Sell Licensed Products to any customer in accordance with the foregoing sentence.",Post-Termination Services
"EXCEPT (I) WITH RESPECT TO ANY BREACH OF ARTICLE 8 (CONFIDENTIALITY), (II) FOR THIRD PARTY PENALTIES, COSTS AND EXPENSES AS SET FORTH IN SECTION 2.9, OR (III) FOR [***], TO THE MAXIMUM EXTENT PERMITTED BY LAW, (A) NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR ANY OTHER THEORY OR FORM OF ACTION, EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY THEREOF; AND (B) EACH PARTY'S TOTAL LIABILITY TO THE OTHER PARTY UNDER THIS SUPPLY AGREEMENT SHALL NOT EXCEED [***].",Cap On Liability
"Operator, with respect to Operator's activities provided for under this Agreement, shall maintain the following insurance coverage with responsible insurance carriers:

(a)    Workers' Compensation. Operator shall maintain statutory worker's  compensation insurance, covering all of its and its Affiliates' employees and statutory employees, in accordance with the benefits afforded by the statutory Worker's Compensation Acts applicable to the state, territory, or district of hire, supervision, or place of accident. In addition, Operator shall maintain employer's liability insurance with a limit of not less than one million dollars ($1,000,000) each accident, one million dollars ($1,000,000) disease each employee, and one million dollars ($1,000,000) disease policy limit. Where not prohibited by law, Operator shall waive its right of subrogation against Owner.",Insurance
"The Parties acknowledge and agree that title to and risk of loss of all Prefilled Syringes shall at all times belong to and remain in AMAG; provided that, subject to the limitations on liability set forth in this Section 2.2(b), in the event of loss or damage of any Prefilled Syringes while they are at the Manufacturing Site, Antares shall be only responsible for the replacement costs (as evidenced by AMAG invoices) of such Prefilled Syringes if the damage, loss, theft or destruction was caused by the negligent act or omission or the willful misconduct of Antares or its Subcontractor.",Cap On Liability
"2      IN WITNESS WHEREOF, the parties have executed this Agreement effective as of the Effective Date.",NONE
"From time to time during the Term of this Agreement, upon reasonable advance notice, Contractor shall permit the Company and its agents, representatives, auditors and designees to visit, inspect and have full access, during normal business hours, to properties, assets, books, records, agreements, documents, data, files and personnel of Contractor.",Audit Rights
"In the case of any individual consultant of SFJ or its Affiliates (excluding SFJ's and its Affiliates' Permitted Third Parties), if SFJ is unable to cause such consultant to agree to such assignment obligation despite SFJ's using commercially reasonable efforts to negotiate such assignment obligation, then SFJ shall either: (A) cause such consultant to grant an exclusive, worldwide, royalty-free, fully-paid, freely-assignable license, with the right to sublicense through multiple tiers, under their rights in such Trial Invention to develop, make, have made, use, sell, have sold, offer for sale and import the Product for any and all uses, except where Applicable Law requires otherwise and except in the case of consultants who are employed by governmental, not- for-profit, or public institutions that have standard policies against such an assignment (in which case, SFJ shall use commercially reasonable efforts to obtain a suitable license, or right to obtain such a license); or (B) refrain from using such consultant to conduct activities pursuant to this Agreement unless PB obtains MedImmune's written consent thereto.",License Grant
"Your lease (or rider to a lease) must include provisions that will: (a) Allow us the right to elect to take an assignment of the leasehold interest upon termination or expiration of your rights under this Agreement, and that allow us (or our designee) to operate a ""Pizza Fusion"" restaurant upon the premises for the remaining term of the lease or sublease; (b) Require the lessor to provide us with a copy of any written notice of deficiency under the lease sent to you, at the same time as notice is given to you (as the lessee under the lease), and which grants to us the right (but not obligation) to cure any deficiency by you under the lease within fifteen (15) business days after the expiration of the period in which you had to cure any such default should you fail to do so;",Post-Termination Services
"Except as otherwise provided herein, all the results of ABG's provision of CELEBRITY'S Services hereunder, including, but not limited to, Materials (but in all cases specifically excluding the Celebrity Endorsement and the Personality Rights), will be deemed a ""work made for hire"" under the provisions of the United States Copyright Act (17 U.S.C. Sec. 101) and will be owned by PAPA JOHN'S for all purposes.",Ip Ownership Assignment
"This agreement shall be construed, interpreted and governed by and in accordance with the laws of Hong Kong.",Governing Law
"This Agreement shall be governed by and construed in accordance with the internal laws of the State of California applicable to agreements made and to be performed entirely within such state, without regard to the conflicts of law principles of such state; provided that any matters relating to the construction or effect of any Patent will be governed by the patent laws of the relevant jurisdiction in which such Patent is granted.",Governing Law
"SIERRA  warrants  that it carries  general  liability  insurance of not          less than $2 million  per occurrence and product liability insurance of          not less than $5 million  per occurrence  and that,  upon the execution          of this Agreement,  it  will name ENVISION as an additional  insured on          such policies.",Insurance
"Subject to Clauses 9.1 and 9.2, each party's total liability under or in connection with this Agreement (whether in contract, tort or  otherwise) arising in any Contract Year is limited to the greater of:

  (a) [ * ] Euros ([ * ] Euros); and

  (b) [ * ]% of the total payment due to the Distributor in the relevant Contract Year pursuant to Clause 4 (Payment Terms).",Cap On Liability
"Subject to the terms and conditions and in consideration of the payments set forth herein and in the Primary Agreement, CSA as disclosed agent for Talent grants to Company from the Commencement Date the right and license during the Term of this Agreement in the Territory to use the ""Property"" in connection with the advertisement, promotion, and sale of the Property Training Course and the Product as well as the right to use such Property on the Product and related packaging.",License Grant
In no event shall PPG SHANGHAI be liable for consequential damages.,Cap On Liability
"Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Amendment in all respects, and any claim or cause of action based upon or arising out of this Amendment, or any dealing between the Parties relating to the subject matter of this Amendment or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Amendment).",Governing Law
"Operator shall maintain Umbrella Liability Insurance coverage covering in excess of (a), (b), and (c) above,  excluding Worker's Compensation, in the amount of ten million dollars ($10,000,000).







Insurance, the applicable contractor shall be required to cause its insurers to wave all rights of recovery or subrogation against Owner and  Operator, where not prohibited by law.",Insurance
"Subject to the terms and conditions of this Agreement, CONTENT PROVIDER hereby grants and assigns by means of present assignment to COMPANY and COMPANY hereby assumes for the Term of this Agreement (as set forth in paragraph 8, below), CONTENT PROVIDER'S rights and obligations regarding the Content from Licensors as set forth in Exhibit A with respect to the right and license for the territory of the People Republic of China to use, reproduce, distribute, transmit and publicly display the Current Content and the Future Content by means of the internet in accordance with Exhibit A and this Agreement.",License Grant
"Consultant hereby irrevocably assigns to Company all right, title and interest in and to any information (including, without limitation, business plans and/or business information), technology, know-how, materials, notes, records, designs, ideas, inventions, improvements, devices, developments, discoveries, compositions, trade secrets, processes, methods and/or techniques, whether or not patentable or copyrightable, that are conceived, reduced to practice or made by Consultant alone or jointly with others in the course of performing the Services or through the use of Confidential Information (collectively, 111nventions"").",Ip Ownership Assignment
ach such insurance policy and endorsement shall provide that the insurance will not be canceled or reduces without at least thirty (30) days' prior written notice to STAAR.,Insurance
"As applicable under the Omnibus Reconciliation Act of 1980, until the expiration of four (4) years after the furnishing of Services pursuant to this Agreement, the Company will, upon receipt of written request, and if then requested to make such information available under the then-existing Law, make available to the Secretary of the U.S. Department of Health and Human Services, the Comptroller General of the U.S. Department of Secretary of Health and Human Services, or any of their fully-authorized representatives, the books, documents, and/or records of the Company that are necessary to verify the nature and extent of costs associated therewith.",Audit Rights
Such insurance requirements shall be maintained during the Term and shall continue for a minimum of three years following termination of this Agreement.,Post-Termination Services
"Anixa will own, and OntoChem hereby assigns to Anixa, all right, title and interest in and to all Inventions other than OntoChem Inventions, including, for clarity, Inventions directed to the Lead Scaffold(s) (including the composition, use or manufacture thereof) (collectively, ""Anixa Inventions"").",Ip Ownership Assignment
"In the event that a Depomed Supply Failure occurs, notwithstanding its compliance with its obligations under Section 6.1, to fulfill all orders for the Product generated by King activities in a timely and efficient manner, upon written notice to Depomed (a ""King Manufacturing Notice""), King shall have, and hereby grants King, exercisable only in accordance with the provisions hereof, the right, but not the obligation, to manufacture, or have manufactured, the Product on behalf of Depomed, at Depomed's expense, including expenses related to the technical transfer of the Product, and Depomed will provide reasonable assistance to King in connection therewith, including by transferring or licensing to King all Technology necessary or useful to give King the capability of manufacturing the Product so that King can undertake manufacture of the Product; provided, however, that Depomed shall not be required to reimburse King for more than [***] percent ([***]%) of Depomed's standard cost for such Product.",Cap On Liability
"16. Headings. The headings in this Agreement are for reference purposes only and shall not in any way affect the meaning or interpretation of this Agreement. Whenever the context so requires or permits, all references to the masculine herein shall include the feminine and neuter, all references to the neuter herein shall include the masculine and feminine, all references to the plural shall include the singular and all references to the singular shall include the plural.",NONE
"More particularly, said right and license to practice ExxonMobil Background Information and ExxonMobil Background Patents for Generation 1 Technology in Carbon Capture Applications will include the right to use, reproduce, and create derivative works of ExxonMobil Background Information under applicable copyrights and the right to make, use, import, and sell or offer to sell under the claims of ExxonMobil Background Patents.",License Grant
Any Transfer  without such approval shall constitute a breach of this Agreement  and shall be void and of no  effect.,Anti-Assignment
"This  Agreement  is binding  upon and enures to the  benefit of the  parties and their  respective  successors and assigns,  and no party shall have the right to assign its rights  hereunder or any interest  herein  without the prior  written consent of the other parties.",Anti-Assignment
"A minimum of:

1 2-D Java Game, which shall include mutually agreed upon 3-D elements

1 Java Application ('Screensaver') where feasible

5 MMS

10 Wallpapers

5 Voicetones",Minimum Commitment
This Agreement shall be governed by the laws of the State of Florida.,Governing Law
The BSP will provide full comprehensive replacement insurance cover for all assets contained in the Asset Register (Schedule A).,Insurance
"G. Paragraph Headings: The paragraph headings set forth in this Agreement are for the convenience of the parties, and in no way define, limit, or describe the scope or intent of this Agreement and are to be given no legal effect. H. Counterparts: This Agreement may be executed in two or more counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument. I. Exhibits: The Exhibits attached hereto are made a part of this Agreement as if fully set forth herein. IN WITNESS WHEREOF, the parties, by their duly authorized representatives, have caused this Agreement to be executed as of the date first written above. Veteran Technology Group, LLC Cool Technologies Inc. By: Name: /s/ Michael Grimes___ /s/ Timothy Hassett___ By: Name: _Michael Grimes ____ ___Timothy Hassett__ 6",NONE
"Source: SIMPLICITY ESPORTS & GAMING CO, 8-K, 11/30/2018",NONE
-56-    TELKOM CONTRACT NO. 076C/01      THUS DONE AND SIGNED at  WOODMEAD  by SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PROPRIETARY) LIMITED    on this 31st day of  March 2001    /S/               For SYSTEMS APPLICATIONS PRODUCTS (AFRICA)(Pty)limited     /                                                                                                 (who warrants his authority to so sign)   For:  TELKOM  SOUTH AFRICA LIMITED             (who warrants his authority to so sign)   /s/                                                                THUS DONE AND SIGNED at  Pretoria by the TELKOM SOUTH AFRICA LIMITED    on this 31st day of  March 2001       AS WITNESSES     Signature         /S/        Signature         /S/,NONE
"IN WITNESS WHEREOF, the Parties hereto have executed and delivered this Agreement as of the date first above written.",NONE
"Each Party will name the other Party  (including its agents, officers, directors, employees and affiliates) as an additional insured on such policies of insurance.",Insurance
Any   assignment not in accordance with this Section 10.2 shall be void.,Anti-Assignment
CAPSUGEL agrees to retain all such Records for a period of five (5) years after the expiration of the Term or after termination of this Agreement.,Post-Termination Services
The Specified Minimum Percentage shall equal 385% of the Company's Company Action Level RBC.,Minimum Commitment
IBM will give Customer a credit equal to the amount Customer paid IBM for the applicable Materials or for use of the applicable Base Components up to a maximum of twelve (12) months of applicable charges.,Cap On Liability
"Lease of Stock (Exhibit 8 Clause 2.2) and Advanced Pool Service (Exhibit 15): the Items of the Stock shall be insured by theCompany under Spares All Risk Insurance for not less than the full replacement value; and,",Insurance
"Source: LEJU HOLDINGS LTD, DRS (on F-1), 1/21/2014",NONE
Integrity Short Term Government Fund,Parties
"Manufacturers' Services Western US Operations, Inc.",Parties
"All questions with respect to the construction of this Agreement, and the rights and liabilities of the Parties hereto, shall be governed by the laws of the State of Florida.",Governing Law
"For each sale administered by element 5 of the Software under this Agreement, element 5 shall receive an additional service fee of 2% of the gross sales price (including taxes, shipping and handling, etc.) as well as the Advertising Cost Compensation defined in II. § 6 (4) and in addition to VAT or sales tax (where applicable).",Revenue/Profit Sharing
"Any and all claims, losses, cost or expenses shall be limited to actual and direct costs.",Cap On Liability
"Subject to XENCOR's adherence to the obligations under this Agreement, BII hereby grants XENCOR a worldwide, irrevocable, exclusive, sublicensable and royalty free license to use the Process and all reasonably necessary related BII Confidential Information and Know- How, BII Technology and BII Intellectual Property for the sole purpose of making and having made the Product; provided that such license shall become effective only upon complete payment of the Technology Access Fee, as applicable.",License Grant
"Notwithstanding   anything to the contrary, Stryker's sole remedy and Conformis' exclusive liability for breach of Section 3.2 with respect to a   Product or a Stryker Product shall be as set forth in Section 10.1(i) of the Distribution Agreement.",Cap On Liability
"Distributor may not assign or delegate its rights or obligations under this Agreement (other than (i) the right to receive any amount due, which shall be freely assignable, or (ii) to Distributor's parent or majority-owned subsidiary company of sufficient net worth to meet any potential liability under this Agreement) without the prior written consent of Cisco, such consent not to be unreasonably withheld or delayed, provided that any such assignment shall not relieve Distributor of any obligation to pay monies that were owed Cisco prior to the date of the assignment.",Anti-Assignment
"During the Term, Women.com agrees to give eDiets the right of first refusal to participate in all diet and diet-counseling related promotion opportunities created or otherwise made available by Women.com on channels or sub-channels created after the Effective Date of this Agreement, including sponsorships, anchor placements and any other content integration opportunities (""Diet Promos"").",Rofr/Rofo/Rofn
"BNL shall have no liability with respect to its obligations under this agreement or otherwise for consequential, exemplary, special, indirect, incidental or punitive damages even if it has been advised of the possibility",Cap On Liability
"Any  sale,  attempted  sale, assignment,  or other transfer of the interests described in Subparagraph 15.4.1 without  first giving BKC the right of first  refusal  described  above shall be void and of no force and effect,  and shall constitute an Event of Default under Paragraph 17.1(k).",Anti-Assignment
MD Anderson also hereby grants to Adaptimmune Limited an exclusive option to negotiate an,License Grant
INTERNATIONAL FAST FOOD CORPORATION,Parties
"Except as may otherwise be required by the Act or the rules thereunder, neither the Adviser nor its directors, officers, employees, shareholders, agents, control persons or affiliates of any thereof (collectively, the ""Adviser Employees"") shall be subject to any liability for, or any damages, expenses or losses incurred by the Trust in connection with any error of judgment, mistake of law, any act or omission in connection with or arising out of any services rendered under or payments made pursuant to this Agreement or any other matter to which this Agreement relates, except by reason of willful misfeasance, bad faith or gross negligence on the part of any such persons in the performance of the duties of the Adviser under this Agreement or by reason of reckless disregard by any of such persons of the obligations and duties of the Adviser under this Agreement. Any person, even though also a director, officer, employee, shareholder or agent of the Adviser, who may be or become a trustee, officer, employee or agent of the Trust, shall be deemed, when rendering services to the Trust or",Cap On Liability
"(c) The Company agrees that if any of the JANA Nominees resigns as a director or otherwise refuses to or is unable to serve as a director at any time prior to the 2015 Annual Meeting, including as a result of death or disability, JANA shall be entitled to designate a replacement director who shall be independent of JANA, would be considered an independent director of the Company under Section 303A of the New York Stock Exchange's Listed Company Manual, is reasonably acceptable to the Board as a replacement director and has a comparable amount of business experience, although such experience need not be in the same industry or industries, and is in equally good standing in all material respects, as the JANA Nominee being replaced. For the avoidance of doubt, the substitute director shall thereafter be deemed a JANA Nominee for purposes of this Agreement and be entitled to the same rights and subject to the same requirements under this Agreement applicable to the resigning JANA Nominee prior to his or her resignation, and such person shall be appointed to the Board to serve the unexpired term, if any, of such JANA Nominee.",NONE
"Table A-9 contains the nominal frequency, power, and duration requirements for

                           ------------------------------------------------                               Minimum             Maximum              Unit          ---------------------------------------------------------------------          Frequency            2085                2115                 Hz          ---------------------------------------------------------------------          Duration             2.6                 4.0                  seconds          ---------------------------------------------------------------------          Power                -18.0               -6.0                 dBm0          ---------------------------------------------------------------------

generating modem tones as derived from V.25 and G.164.",Minimum Commitment
SPACE BELOW INTENTIONALLY BLANK - SIGNATURE PAGE FOLLOWS,NONE
"If COMPANY proposes to sell any equity securities or securities that are convertible into equity securities of COMPANY (collectively, ""Equity Securities"") in any new round of financing, then COMPANY shall offer JHU and/or its Assignee (as defined below) an opportunity to purchase either: (i) up to that portion of the Equity Securities that equals JHU's then current, fully-diluted percentage ownership interest in COMPANY, or (ii) if the percentage offered for sale by COMPANY is less, then up to five percent (5%) of the Equity Securities offered for sale.",Rofr/Rofo/Rofn
"(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")",Parties
"Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").",Expiration Date
"During the period ending on the third anniversary of the expiration of the fiscal year during which the closing of the transactions contemplated hereby occurs, the Company will furnish to its stockholders as soon as practicable after the end of each such fiscal year an annual report (including consolidated statements of financial condition and consolidated statements of income, stockholders' equity and cash flows, certified by independent public accountants) and, as soon as practicable after the end of each of the first three quarters of each fiscal year (beginning with the fiscal quarter ending after the effective date of the Registration Statement), the Company will make available to its stockholders consolidated summary financial information of the Company and the Bank for such quarter in reasonable detail. In addition, such annual report and quarterly consolidated summary financial information shall be made public through the issuance of appropriate press releases at the same time or prior to the time of the furnishing thereof to stockholders of the Company.",Post-Termination Services
"WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW, THE FOREGOING  PROVISIONS OF THIS SECTION SET FORTH ACCURAY'S SOLE AND EXCLUSIVE LIABILITY AND DISTRIBUTOR'S SOLE  AND EXCLUSIVE REMEDY FOR ANY CLAIMS OF INFRINGEMENT OR MISAPPROPRIATION OF INTELLECTUAL PROPERTY  RIGHTS OR PROPRIETARY RIGHTS OF ANY KIND.",Cap On Liability
THIS SECTION 12 SETS FORTH THE SOLE AND          ---------------------------- EXCLUSIVE LIABILITY OF THE COMPANY FOR INFRINGEMENT OF THIRD PARTY INTELLECTUAL PROPERTY RIGHTS.,Cap On Liability
"Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015",NONE
"c)   grant to HCI, a non-exclusive and non-transferable right to use MediaLinx      images and certain content contained in the HealthyWay web site (the      ""Sympatico Content"") for the sole purpose of satisfying the requirements of      this Agreement. MediaLinx shall retain all right, title to and interest in      the Sympatico Content;

d)   grant to HCI, to the extent that HCI requires access to MLX logos and      trademarks (collectively ""MLX Marks"") the use of certain MLX Marks as      necessary for the purposes of fulfilling its obligations under this      Agreement.",License Grant
"This Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to Section 3.2 or 3.3 of this Agreement, shall  continue until the twentieth (20th) anniversary of the Effective Date; provided, however, (i) Operator shall have the right to terminate this  Agreement at any time upon no less than 120 days prior written notice to Owner, if Operator provides a substitute operator acceptable to Owner,  as determined in its reasonable discretion, who (A) has experience operating similar assets, (B) has the ability to provide at least the same quality  of service as Operator, (C) has the financial ability to perform the obligations hereunder, and (D) is ready, willing and able to execute an operation  and maintenance agreement substantially similar to this Agreement and acceptable to Owner, as determined in its reasonable discretion, and  (ii) Owner shall have the right to terminate this Agreement at any time upon no less than 120 days prior written notice to Operator.",Expiration Date
"Upon  termination of this Agreement by Pretzel Time in accordance  with its terms and  conditions or by Franchisee  without cause or upon  expiration of this  Agreement  (unless the franchise  has been  renewed),  Pretzel  Time,  its Affiliates  or  its  assignee  shall  have  the  option  (not  the  obligation), exercisable  by giving  written  notice  thereof within sixty (60) days from the date of such  expiration  or  termination,  to acquire from  Franchisee  all the assets  in the Unit  including  the  equipment,  furnishings,  signs,  leasehold improvements,  usable  inventory  of  Products,  materials,  supplies  and other tangible assets of the Unit and an assignment of the lease for the Unit.",Rofr/Rofo/Rofn
THI is granted the following rights to the Applications in Appendix A and the Licensed Products derived therefrom:,License Grant
"entered into this Agreement with respect to some or all of its Funds individually, and not jointly. The rights and obligations of the Trust described in this Agreement apply to each individual Fund. No Fund shall have any liability for any costs or expenses incurred by any other Fund. In seeking to enforce a claim against any Fund, Administrator shall look to the assets only of that Fund and not to the assets of any other Fund. IN WITNESS WHEREOF, the undersigned have executed this Agreement by their duly authorized officers as of this 28  day of September 2004. The Victory Portfolios on behalf of those Funds listed on Schedule A, individually and not jointly. By: /s/ Kathleen A. Dennis Title: Kathleen A. Dennis President Hartford Life Insurance Company By: /s/ James Davey James Davey Vice President 9",NONE
Emirates Telecommunications Corporation - ETISALAT,Parties
"For sales of AMR Product Suites by LKPL, other than                            sales to Datamatic as defined above: LKPL shall pay                            Axiometric the higher of:

                           a) five-percent (5%) of the Gross Proceeds OR                            b) twenty-percent (25%) of the Net Proceeds",Revenue/Profit Sharing
"Indorama Loop Technologies, LLC",Parties
"The Professional agrees that, with respect to men's apparel,          he will exclusively endorse and use exclusively in play, practice,           exhibits, clinics and other events open to the media or public, Haley           brand apparel which shall consist of shirts, vests, jackets, sweaters,          pants and shorts (if permitted by applicable rules).",Exclusivity
"With respect to each Revenue Event, Distributor shall be entitled to receive the Distributor Share of Net Revenue, and Hydraspin shall be entitled to receive the Hydraspin Share of Net Revenue.",Revenue/Profit Sharing
"C. The receiving party agrees that it will not disclose any Confidential Information to any third party and will not use Confidential Information of the disclosing party for any purpose other than for the performance of the rights and obligations hereunder during the term of this Agreement and for a period of three (3) years thereafter, without the prior written consent of the disclosing party. The receiving party further agrees that Confidential Information shall remain the sole property of the disclosing party and that it will take all reasonable precautions to prevent any unauthorized disclosure of Confidential Information by its employees. No license shall be granted by the disclosing party to the receiving party with respect to Confidential Information disclosed hereunder unless otherwise expressly provided herein.",NONE
"following rights:

(a) to make, use, lease, sell or otherwise dispose of, maintain and repair,     Licensed Products, to license the use of Licensed Products made by or for     Grantee, to practice any process involved in the manufacture or use of     Licensed Products, and to provide Licensed Services;

(b) to have made Licensed Products by another manufacturer for the use, lease,     sale, disposal or transfer by Grantee, but only when both of the following     conditions are met:

    (i)   the designs, specifications and working drawings for the manufacture            of such Licensed Products are furnished by Grantee; and

   (ii)   such designs, specifications and working drawings are in sufficient           detail that no additional design by the manufacturer is required other           than adaptation to the production processes and standards normally           used by the manufacturer which change the characteristics of the           products only to a negligible extent;",License Grant
Owner may terminate this Agreement at any time upon the occurrence of any of the following:,Termination For Convenience
"B.   Upon our demand, you will assign to us your interest in any lease then in effect for the Franchised Restaurant premises.",Post-Termination Services
"Except as otherwise set forth herein, neither Party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other Party, which consent may be withheld at the other Party's reasonable business discretion; provided, however, that either Party may transfer this Agreement without prior written consent of the other Party to an Affiliate or in connection with a merger or sale of all or substantially all of the stock or assets of such Party.",Anti-Assignment
"EFS shall have the right to decrease the Catalog budget  below the ***** minimum only if EFS can demonstrate that online marketing activities yield a higher return-on-investment and  provided all such reduced dollars are then reinvested in online marketing spend over and above the minimum online marketing  commitment described in Section 4.2, below.",Minimum Commitment
"Upon payment in full of all obligations hereunder, Developer unconditionally and irrevocably grants to Client all software, improvements, code and other work produce produced by the Developer during the course of this agreement.",Ip Ownership Assignment
"All policies of insurance referred to in this Section 4.1 shall be endorsed: (i) to specify that they are primary to and not  excess to or on a contributing basis with any insurance or self-insurance maintained by Owner, Owner and User (and their respective Affiliates) or  any SubService Providers in respect of losses arising out of or in connection with the Services; (ii) to include Owner, Owner, User and, upon  User's request and if applicable, User's landlord, or a subsequent owner, tenant or subtenant of the Premises as additional insureds; and (iii)  contain a standard severability of interests clause.",Insurance
"Aucta should continue to receive 15% of Net Sales Royalty for as long as ETON is selling the Product(s) in the Territory, unless otherwise agreed to under this Agreement.",Revenue/Profit Sharing
Such audits may be conducted upon reasonable notice during the term of this Agreement and for [***] thereafter.,Audit Rights
"Except as otherwise provided herein, this Agreement shall commence      effective June 1, 1998, and shall continue for a term of three (3) years      expiring May 31, 2001 (the ""Term"").",Expiration Date
"During the Termination Period, the Company will give reasonable cooperation and support to MBE to assure an orderly and efficient transition and, without limiting the generality of the foregoing, at MBE's expense, the Company shall be obligated to provide MBE with data reasonably necessary for MBE to convert or implement the non-Company systems, procedures and practices.",Post-Termination Services
"Operator shall maintain Umbrella Liability Insurance coverage covering in excess of (a), (b), and (c) above, excluding Worker's Compensation, in the amount of ten million dollars ($10,000,000).",Insurance
2. Annual stock grants as awarded by the Compensation Committee of the Company's Board of Directors.,Revenue/Profit Sharing
"Further, during the Term, except as otherwise provided herein, neither T&B nor any of its Affiliates may (1) offer to sell or sell any product or service that is the same or similar to the Products in the Exclusive Field of Use, or (2) contact, solicit, or direct any person or entity to contact or solicit, any of the customers of (or customers set forth in the Customer Data) for the purpose of providing any products or services that are the same or similar to the Products; provided, however, that T&B, in its sole and absolute discretion, shall have the right to terminate this Agreement, including all rights and licenses granted to LEA herein, if and as of the date that any monthly Royalty Payment (as defined in 9.3, below) payable to T&B does not exceed the Minimum Guaranteed Royalty for six (6) consecutive months.",Minimum Commitment
"IN WITNESS WHEREOF, the parties have duly executed this Agreement on the date first above written.",NONE
"At all times during the Term of this  Agreement, Franchisee shall employ at least one (1) individual (the  ""Restaurant  Manager"") who is  responsible  for the direct,  personal  supervision  of the  Franchise d Restaurant .",Minimum Commitment
"Within [***] of the effective date of such termination (or as promptly as practical thereafter, if such period is not practical under Applicable Law), [***], Sanofi shall transfer and assign to RevMed all Regulatory Approvals relating to Termination Products, and, to the extent not previously provided to RevMed, transfer other Regulatory Materials including data from preclinical, non-clinical and clinical studies conducted by or on behalf of Sanofi, its Affiliates or Sublicensees on any Termination Products and all pharmacovigilance data (including all adverse event databases) on any Termination Products.",Post-Termination Services
No party may transfer or assign its rights or obligations under this Agreement without the prior written consent of the other parties and any transfer or assignment or purported transfer or assignment in contravention of this Section 18 shall be void and without force or effect.,Anti-Assignment
28. Confidentiality and Non-Disclosure,NONE
Distributor shall not assign the rights granted in this Section 1.01 without the prior written consent of the Company.,Anti-Assignment
"Neither party shall assign or transfer any of its rights under this Agreement without the prior written approval of the other party, except no such approval shall be required for an assignment to a financially responsible affiliate.",Anti-Assignment
"Xencor shall bear the full cost of such audit unless such audit discloses an underpayment of more than [***] percent ([***]%) of the payments due under this Agreement, in which case, [***].",Audit Rights
"""we,"" ""us,"" ""our"" or ""Franchisor""",Parties
"In the event that this Agreement is terminated prior to the end of the Initial Term, any portion of the Year 1  Minimum Royalty that has been spread across Years 2 through 5 of the Term pursuant to Exhibit 10 and which has not yet been  paid to Client, shall immediately become due and owing.",Minimum Commitment
This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance  with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of  the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.,Governing Law
"Emdeon is hereby granted a non-exclusive and worldwide right to use WebMD's trademarks and logos (""Marks"") for the purpose of identifying the origin of the Content during the term of this Agreement.",License Grant
"EXCEPT FOR IN THE EVENT OF WILLFUL MISCONDUCT OR GROSS NEGLIGENCE, THE RESELLER AND ITS AFFILIATES SHALL NOT BE LIABLE TO THE COMPANY, AND SHALL HAVE NO OBLIGATION TO INDEMNIFY OR HOLD HARMLESS THE COMPANY, WITH RESPECT TO OR IN CONNECTION WITH ANY LOSS RESULTING FROM OR CAUSED BY THE COMPANY PRODUCTS.",Cap On Liability
"For two (2) years following the Effective Time, QIWI covenants that at least one half of the total transactions processed by the Contact money transfer system during such two-year period shall be settled through PJSC Khanty-Mansiysk Bank Otkritie, provided that QIWI may terminate its obligation under this Clause 4.1 at any time, in which case it shall pay to Otkritie a fee equal to the demonstrated costs incurred by Otkritie for such period starting from 1 September 2014, until the date of termination of QIWI's obligations under this Clause 4.1 in connection with (i) the transfer of settlement bank function to PJSC Khanty-Mansiysk Bank Otkritie ; and (ii) supporting the settlement bank functionality for the Contact money transfer system, provided further that such fee shall in no event exceed RUB 50 000 000 (fifty million roubles).",Cap On Liability
"4.7. Safety Standard Changes. IAC shall promptly notify Sonos if, to its knowledge, any upgrade, substitution or other change to any Third Party Component is required to make the Component meet applicable safety standards or other governmental statutes, rules, orders or regulations. Sonos and IAC will discuss the costs of any subsequent upgrade, substitution or other required change in an equitable manner based on good faith discussions between the parties.",NONE
